sent_at;sent_at_local;tz_offset;language;machine;amount
2020-06-14 17:50:00Z;2020-06-14 19:50:00;120;JavaScript;latitude-E6440;18
2020-06-14 17:50:46Z;2020-06-14 19:50:46;120;JavaScript;latitude-E6440;26
2020-06-14 18:02:33Z;2020-06-14 20:02:33;120;JavaScript;latitude-E6440;5
2020-06-14 18:04:37Z;2020-06-14 20:04:37;120;JavaScript;latitude-E6440;9
2020-06-14 18:01:49Z;2020-06-14 20:01:49;120;JavaScript;latitude-E6440;12
2020-06-14 17:58:58Z;2020-06-14 19:58:58;120;JavaScript;latitude-E6440;4
2020-06-14 17:55:07Z;2020-06-14 19:55:07;120;JavaScript;latitude-E6440;3
2020-06-14 17:55:31Z;2020-06-14 19:55:31;120;JavaScript;latitude-E6440;12
2020-06-14 18:04:11Z;2020-06-14 20:04:11;120;JavaScript;latitude-E6440;5
2020-06-15 15:57:17Z;2020-06-15 17:57:17;120;JSON;latitude-E6440;1
2020-06-15 15:58:28Z;2020-06-15 17:58:28;120;JavaScript;latitude-E6440;4
2020-06-15 15:59:28Z;2020-06-15 17:59:28;120;JavaScript;latitude-E6440;3
2020-06-17 06:25:45Z;2020-06-17 08:25:45;120;JavaScript;latitude-E6440;4
2020-06-17 06:36:22Z;2020-06-17 08:36:22;120;CSS;latitude-E6440;39
2020-06-17 06:36:22Z;2020-06-17 08:36:22;120;JavaScript;latitude-E6440;8
2020-06-17 06:21:57Z;2020-06-17 08:21:57;120;JavaScript;latitude-E6440;8
2020-06-17 06:27:32Z;2020-06-17 08:27:32;120;JavaScript;latitude-E6440;19
2020-06-17 06:31:53Z;2020-06-17 08:31:53;120;JavaScript;latitude-E6440;17
2020-06-17 06:38:41Z;2020-06-17 08:38:41;120;JavaScript;latitude-E6440;8
2020-06-17 06:37:46Z;2020-06-17 08:37:46;120;JavaScript;latitude-E6440;8
2020-06-17 06:41:49Z;2020-06-17 08:41:49;120;JavaScript;latitude-E6440;11
2020-06-17 06:44:37Z;2020-06-17 08:44:37;120;JavaScript;latitude-E6440;13
2020-06-17 06:21:20Z;2020-06-17 08:21:20;120;JavaScript;latitude-E6440;11
2020-06-17 06:26:42Z;2020-06-17 08:26:42;120;JavaScript;latitude-E6440;13
2020-06-17 06:29:17Z;2020-06-17 08:29:17;120;JavaScript;latitude-E6440;17
2020-06-17 06:48:47Z;2020-06-17 08:48:47;120;JavaScript;latitude-E6440;11
2020-06-17 06:25:12Z;2020-06-17 08:25:12;120;JavaScript;latitude-E6440;4
2020-06-17 06:30:05Z;2020-06-17 08:30:05;120;JavaScript;latitude-E6440;12
2020-06-17 06:23:30Z;2020-06-17 08:23:30;120;JavaScript;latitude-E6440;9
2020-06-17 06:27:45Z;2020-06-17 08:27:45;120;JavaScript;latitude-E6440;5
2020-06-17 06:52:26Z;2020-06-17 08:52:26;120;JavaScript;latitude-E6440;14
2020-06-17 06:41:18Z;2020-06-17 08:41:18;120;JavaScript;latitude-E6440;10
2020-06-17 06:42:29Z;2020-06-17 08:42:29;120;JavaScript;latitude-E6440;5
2020-06-17 06:25:33Z;2020-06-17 08:25:33;120;JavaScript;latitude-E6440;4
2020-06-17 06:28:38Z;2020-06-17 08:28:38;120;JavaScript;latitude-E6440;8
2020-06-17 06:48:21Z;2020-06-17 08:48:21;120;JavaScript;latitude-E6440;11
2020-06-17 06:58:23Z;2020-06-17 08:58:23;120;JavaScript;latitude-E6440;8
2020-06-17 06:49:56Z;2020-06-17 08:49:56;120;JavaScript;latitude-E6440;6
2020-06-17 06:57:07Z;2020-06-17 08:57:07;120;JavaScript;latitude-E6440;16
2020-06-17 06:42:46Z;2020-06-17 08:42:46;120;JavaScript;latitude-E6440;10
2020-06-17 06:47:32Z;2020-06-17 08:47:32;120;JavaScript;latitude-E6440;8
2020-06-17 06:28:13Z;2020-06-17 08:28:13;120;JavaScript;latitude-E6440;7
2020-06-17 06:56:32Z;2020-06-17 08:56:32;120;JavaScript;latitude-E6440;10
2020-06-17 06:34:02Z;2020-06-17 08:34:02;120;JavaScript;latitude-E6440;8
2020-06-17 06:24:46Z;2020-06-17 08:24:46;120;JavaScript;latitude-E6440;14
2020-06-17 06:30:53Z;2020-06-17 08:30:53;120;JavaScript;latitude-E6440;4
2020-06-17 06:47:51Z;2020-06-17 08:47:51;120;JavaScript;latitude-E6440;6
2020-06-17 06:34:15Z;2020-06-17 08:34:15;120;JavaScript;latitude-E6440;2
2020-06-17 06:44:00Z;2020-06-17 08:44:00;120;JavaScript;latitude-E6440;7
2020-06-17 06:46:18Z;2020-06-17 08:46:18;120;JavaScript;latitude-E6440;7
2020-06-17 06:57:49Z;2020-06-17 08:57:49;120;JavaScript;latitude-E6440;20
2020-06-17 06:31:07Z;2020-06-17 08:31:07;120;JavaScript;latitude-E6440;2
2020-06-17 06:35:38Z;2020-06-17 08:35:38;120;CSS;latitude-E6440;12
2020-06-17 06:40:22Z;2020-06-17 08:40:22;120;JavaScript;latitude-E6440;8
2020-06-17 06:52:08Z;2020-06-17 08:52:08;120;JavaScript;latitude-E6440;10
2020-06-17 06:50:58Z;2020-06-17 08:50:58;120;JavaScript;latitude-E6440;7
2020-06-17 06:58:54Z;2020-06-17 08:58:54;120;JavaScript;latitude-E6440;10
2020-06-17 06:45:20Z;2020-06-17 08:45:20;120;JavaScript;latitude-E6440;22
2020-06-17 06:49:27Z;2020-06-17 08:49:27;120;JavaScript;latitude-E6440;25
2020-06-17 06:43:39Z;2020-06-17 08:43:39;120;JavaScript;latitude-E6440;8
2020-06-17 06:39:40Z;2020-06-17 08:39:40;120;JavaScript;latitude-E6440;15
2020-06-17 06:46:47Z;2020-06-17 08:46:47;120;JavaScript;latitude-E6440;5
2020-06-17 06:53:18Z;2020-06-17 08:53:18;120;JavaScript;latitude-E6440;22
2020-06-17 07:29:18Z;2020-06-17 09:29:18;120;JavaScript;latitude-E6440;4
2020-06-17 07:28:30Z;2020-06-17 09:28:30;120;JavaScript;latitude-E6440;8
2020-06-17 07:29:30Z;2020-06-17 09:29:30;120;JavaScript;latitude-E6440;4
2020-06-17 07:28:57Z;2020-06-17 09:28:57;120;JavaScript;latitude-E6440;9
2020-06-17 08:38:43Z;2020-06-17 10:38:43;120;JavaScript;latitude-E6440;4
2020-06-17 20:46:49Z;2020-06-17 22:46:49;120;JavaScript;latitude-E6440;3
2020-06-17 21:05:37Z;2020-06-17 23:05:37;120;JavaScript;latitude-E6440;4
2020-06-17 21:05:19Z;2020-06-17 23:05:19;120;JavaScript;latitude-E6440;18
2020-06-17 20:47:04Z;2020-06-17 22:47:04;120;JavaScript;latitude-E6440;1
2020-06-17 20:48:20Z;2020-06-17 22:48:20;120;JavaScript;latitude-E6440;7
2020-06-17 20:48:55Z;2020-06-17 22:48:55;120;JavaScript;latitude-E6440;4
2020-06-17 20:49:25Z;2020-06-17 22:49:25;120;JavaScript;latitude-E6440;4
2020-06-17 20:42:22Z;2020-06-17 22:42:22;120;JavaScript;latitude-E6440;5
2020-06-17 20:50:12Z;2020-06-17 22:50:12;120;JavaScript;latitude-E6440;4
2020-06-17 21:07:05Z;2020-06-17 23:07:05;120;JavaScript;latitude-E6440;2
2020-06-17 20:49:12Z;2020-06-17 22:49:12;120;JavaScript;latitude-E6440;5
2020-06-17 21:06:50Z;2020-06-17 23:06:50;120;JavaScript;latitude-E6440;11
2020-06-17 21:06:50Z;2020-06-17 23:06:50;120;CSS;latitude-E6440;3
2020-06-17 21:07:59Z;2020-06-17 23:07:59;120;JavaScript;latitude-E6440;5
2020-06-17 21:03:47Z;2020-06-17 23:03:47;120;JavaScript;latitude-E6440;5
2020-06-17 21:07:41Z;2020-06-17 23:07:41;120;JavaScript;latitude-E6440;8
2020-06-17 21:06:17Z;2020-06-17 23:06:17;120;CSS;latitude-E6440;9
2020-06-17 21:25:33Z;2020-06-17 23:25:33;120;CSS;latitude-E6440;8
2020-06-17 21:24:42Z;2020-06-17 23:24:42;120;JavaScript;latitude-E6440;2
2020-06-18 05:51:51Z;2020-06-18 07:51:51;120;JavaScript;latitude-E6440;3
2020-06-18 06:04:23Z;2020-06-18 08:04:23;120;JavaScript;latitude-E6440;3
2020-06-18 06:00:45Z;2020-06-18 08:00:45;120;JavaScript;latitude-E6440;6
2020-06-18 05:52:44Z;2020-06-18 07:52:44;120;JavaScript;latitude-E6440;5
2020-06-18 06:09:49Z;2020-06-18 08:09:49;120;JavaScript;latitude-E6440;10
2020-06-18 06:23:17Z;2020-06-18 08:23:17;120;JavaScript;latitude-E6440;5
2020-06-18 06:07:05Z;2020-06-18 08:07:05;120;JavaScript;latitude-E6440;19
2020-06-18 06:08:57Z;2020-06-18 08:08:57;120;JavaScript;latitude-E6440;2
2020-06-18 06:03:57Z;2020-06-18 08:03:57;120;JavaScript;latitude-E6440;6
2020-06-18 06:05:26Z;2020-06-18 08:05:26;120;JavaScript;latitude-E6440;6
2020-06-18 06:10:03Z;2020-06-18 08:10:03;120;JavaScript;latitude-E6440;3
2020-06-18 06:21:08Z;2020-06-18 08:21:08;120;JavaScript;latitude-E6440;6
2020-06-18 06:17:30Z;2020-06-18 08:17:30;120;JavaScript;latitude-E6440;14
2020-06-18 06:01:30Z;2020-06-18 08:01:30;120;JavaScript;latitude-E6440;14
2020-06-18 06:06:32Z;2020-06-18 08:06:32;120;JavaScript;latitude-E6440;3
2020-06-18 06:03:07Z;2020-06-18 08:03:07;120;JavaScript;latitude-E6440;2
2020-06-18 06:10:38Z;2020-06-18 08:10:38;120;JavaScript;latitude-E6440;7
2020-06-18 06:15:37Z;2020-06-18 08:15:37;120;JavaScript;latitude-E6440;32
2020-06-18 06:06:12Z;2020-06-18 08:06:12;120;JavaScript;latitude-E6440;17
2020-06-18 06:02:56Z;2020-06-18 08:02:56;120;JavaScript;latitude-E6440;2
2020-06-18 06:16:21Z;2020-06-18 08:16:21;120;JavaScript;latitude-E6440;3
2020-06-18 06:11:04Z;2020-06-18 08:11:04;120;JavaScript;latitude-E6440;7
2020-06-18 06:14:31Z;2020-06-18 08:14:31;120;JavaScript;latitude-E6440;4
2020-06-18 06:32:49Z;2020-06-18 08:32:49;120;JavaScript;latitude-E6440;5
2020-06-18 06:20:07Z;2020-06-18 08:20:07;120;JavaScript;latitude-E6440;11
2020-06-18 06:35:17Z;2020-06-18 08:35:17;120;JavaScript;latitude-E6440;4
2020-06-18 07:03:50Z;2020-06-18 09:03:50;120;JavaScript;latitude-E6440;24
2020-06-18 06:20:44Z;2020-06-18 08:20:44;120;JavaScript;latitude-E6440;5
2020-06-18 06:35:59Z;2020-06-18 08:35:59;120;JavaScript;latitude-E6440;5
2020-06-18 06:33:30Z;2020-06-18 08:33:30;120;JavaScript;latitude-E6440;19
2020-06-18 06:37:09Z;2020-06-18 08:37:09;120;JavaScript;latitude-E6440;4
2020-06-18 07:05:16Z;2020-06-18 09:05:16;120;JavaScript;latitude-E6440;13
2020-06-18 06:36:51Z;2020-06-18 08:36:51;120;JavaScript;latitude-E6440;4
2020-06-18 07:04:40Z;2020-06-18 09:04:40;120;JavaScript;latitude-E6440;8
2020-06-18 08:15:16Z;2020-06-18 10:15:16;120;JavaScript;latitude-E6440;8
2020-06-18 08:10:33Z;2020-06-18 10:10:33;120;JavaScript;latitude-E6440;4
2020-06-18 08:16:17Z;2020-06-18 10:16:17;120;JavaScript;latitude-E6440;12
2020-06-18 08:12:29Z;2020-06-18 10:12:29;120;JavaScript;latitude-E6440;11
2020-06-18 08:13:33Z;2020-06-18 10:13:33;120;JavaScript;latitude-E6440;32
2020-06-18 08:11:53Z;2020-06-18 10:11:53;120;JavaScript;latitude-E6440;9
2020-06-18 08:12:07Z;2020-06-18 10:12:07;120;JavaScript;latitude-E6440;7
2020-06-18 08:14:27Z;2020-06-18 10:14:27;120;JavaScript;latitude-E6440;15
2020-06-18 08:11:33Z;2020-06-18 10:11:33;120;JavaScript;latitude-E6440;24
2020-06-18 09:36:35Z;2020-06-18 11:36:35;120;JavaScript;latitude-E6440;6
2020-06-18 09:32:35Z;2020-06-18 11:32:35;120;JavaScript;latitude-E6440;20
2020-06-18 09:33:45Z;2020-06-18 11:33:45;120;JavaScript;latitude-E6440;5
2020-06-18 09:31:33Z;2020-06-18 11:31:33;120;JavaScript;latitude-E6440;8
2020-06-18 09:35:23Z;2020-06-18 11:35:23;120;JavaScript;latitude-E6440;9
2020-06-18 09:34:07Z;2020-06-18 11:34:07;120;JavaScript;latitude-E6440;7
2020-06-18 09:48:52Z;2020-06-18 11:48:52;120;JavaScript;latitude-E6440;13
2020-06-18 09:32:03Z;2020-06-18 11:32:03;120;JavaScript;latitude-E6440;4
2020-06-18 09:33:29Z;2020-06-18 11:33:29;120;JavaScript;latitude-E6440;6
2020-06-18 09:36:01Z;2020-06-18 11:36:01;120;JavaScript;latitude-E6440;5
2020-06-18 09:33:02Z;2020-06-18 11:33:02;120;JavaScript;latitude-E6440;12
2020-06-18 09:48:21Z;2020-06-18 11:48:21;120;JavaScript;latitude-E6440;4
2020-06-18 10:01:12Z;2020-06-18 12:01:12;120;JavaScript;latitude-E6440;12
2020-06-18 13:24:32Z;2020-06-18 15:24:32;120;Plain text;latitude-E6440;1
2020-06-18 16:30:18Z;2020-06-18 18:30:18;120;JavaScript;latitude-E6440;5
2020-06-18 16:32:29Z;2020-06-18 18:32:29;120;JavaScript;latitude-E6440;49
2020-06-18 16:31:09Z;2020-06-18 18:31:09;120;JavaScript;latitude-E6440;11
2020-06-19 06:33:27Z;2020-06-19 08:33:27;120;JavaScript;latitude-E6440;1
2020-06-19 06:50:19Z;2020-06-19 08:50:19;120;JavaScript;latitude-E6440;19
2020-06-19 06:36:05Z;2020-06-19 08:36:05;120;JavaScript;latitude-E6440;49
2020-06-19 06:47:32Z;2020-06-19 08:47:32;120;JavaScript;latitude-E6440;7
2020-06-19 06:33:51Z;2020-06-19 08:33:51;120;JavaScript;latitude-E6440;4
2020-06-19 06:54:55Z;2020-06-19 08:54:55;120;JavaScript;latitude-E6440;8
2020-06-19 06:34:14Z;2020-06-19 08:34:14;120;JavaScript;latitude-E6440;3
2020-06-19 06:47:55Z;2020-06-19 08:47:55;120;JavaScript;latitude-E6440;6
2020-06-19 06:52:57Z;2020-06-19 08:52:57;120;JavaScript;latitude-E6440;5
2020-06-19 06:50:38Z;2020-06-19 08:50:38;120;JavaScript;latitude-E6440;9
2020-06-19 07:17:10Z;2020-06-19 09:17:10;120;JavaScript;latitude-E6440;5
2020-06-19 07:22:24Z;2020-06-19 09:22:24;120;Less;latitude-E6440;47
2020-06-19 07:22:24Z;2020-06-19 09:22:24;120;JavaScript;latitude-E6440;26
2020-06-19 07:08:53Z;2020-06-19 09:08:53;120;JavaScript;latitude-E6440;8
2020-06-19 06:33:08Z;2020-06-19 08:33:08;120;JavaScript;latitude-E6440;2
2020-06-19 07:08:33Z;2020-06-19 09:08:33;120;JavaScript;latitude-E6440;11
2020-06-19 07:18:55Z;2020-06-19 09:18:55;120;Less;latitude-E6440;2
2020-06-19 06:34:38Z;2020-06-19 08:34:38;120;JavaScript;latitude-E6440;7
2020-06-19 06:57:45Z;2020-06-19 08:57:45;120;JavaScript;latitude-E6440;8
2020-06-19 07:03:47Z;2020-06-19 09:03:47;120;JavaScript;latitude-E6440;1
2020-06-19 07:15:01Z;2020-06-19 09:15:01;120;JavaScript;latitude-E6440;2
2020-06-19 06:49:38Z;2020-06-19 08:49:38;120;JavaScript;latitude-E6440;10
2020-06-19 06:51:31Z;2020-06-19 08:51:31;120;JavaScript;latitude-E6440;17
2020-06-19 07:27:59Z;2020-06-19 09:27:59;120;Less;latitude-E6440;25
2020-06-19 06:53:25Z;2020-06-19 08:53:25;120;JavaScript;latitude-E6440;7
2020-06-19 07:24:33Z;2020-06-19 09:24:33;120;Less;latitude-E6440;25
2020-06-19 07:24:33Z;2020-06-19 09:24:33;120;JavaScript;latitude-E6440;2
2020-06-19 07:24:48Z;2020-06-19 09:24:48;120;Less;latitude-E6440;7
2020-06-19 06:51:03Z;2020-06-19 08:51:03;120;JavaScript;latitude-E6440;17
2020-06-19 07:28:38Z;2020-06-19 09:28:38;120;Less;latitude-E6440;21
2020-06-19 07:19:47Z;2020-06-19 09:19:47;120;JavaScript;latitude-E6440;28
2020-06-19 07:30:00Z;2020-06-19 09:30:00;120;Less;latitude-E6440;30
2020-06-19 07:09:36Z;2020-06-19 09:09:36;120;JavaScript;latitude-E6440;4
2020-06-19 07:38:16Z;2020-06-19 09:38:16;120;Less;latitude-E6440;2
2020-06-19 07:14:39Z;2020-06-19 09:14:39;120;JavaScript;latitude-E6440;12
2020-06-19 07:20:10Z;2020-06-19 09:20:10;120;JavaScript;latitude-E6440;11
2020-06-19 07:17:21Z;2020-06-19 09:17:21;120;JavaScript;latitude-E6440;2
2020-06-19 07:18:26Z;2020-06-19 09:18:26;120;Less;latitude-E6440;24
2020-06-19 07:15:27Z;2020-06-19 09:15:27;120;JavaScript;latitude-E6440;5
2020-06-19 07:09:09Z;2020-06-19 09:09:09;120;JavaScript;latitude-E6440;4
2020-06-19 07:16:30Z;2020-06-19 09:16:30;120;JavaScript;latitude-E6440;17
2020-06-19 07:06:41Z;2020-06-19 09:06:41;120;JavaScript;latitude-E6440;15
2020-06-19 07:26:43Z;2020-06-19 09:26:43;120;Less;latitude-E6440;14
2020-06-19 07:07:34Z;2020-06-19 09:07:34;120;JavaScript;latitude-E6440;22
2020-06-19 07:11:15Z;2020-06-19 09:11:15;120;JavaScript;latitude-E6440;11
2020-06-19 07:23:11Z;2020-06-19 09:23:11;120;JavaScript;latitude-E6440;23
2020-06-19 07:29:07Z;2020-06-19 09:29:07;120;Less;latitude-E6440;5
2020-06-19 07:36:40Z;2020-06-19 09:36:40;120;JavaScript;latitude-E6440;8
2020-06-19 07:25:31Z;2020-06-19 09:25:31;120;Less;latitude-E6440;14
2020-06-19 07:26:05Z;2020-06-19 09:26:05;120;Less;latitude-E6440;4
2020-06-19 07:38:27Z;2020-06-19 09:38:27;120;Less;latitude-E6440;3
2020-06-19 07:35:44Z;2020-06-19 09:35:44;120;JavaScript;latitude-E6440;4
2020-06-19 07:39:58Z;2020-06-19 09:39:58;120;Plain text;latitude-E6440;1
2020-06-19 08:17:10Z;2020-06-19 10:17:10;120;Plain text;latitude-E6440;1
2020-06-19 08:14:58Z;2020-06-19 10:14:58;120;JavaScript;latitude-E6440;32
2020-06-19 08:15:24Z;2020-06-19 10:15:24;120;JavaScript;latitude-E6440;5
2020-06-19 08:15:56Z;2020-06-19 10:15:56;120;JavaScript;latitude-E6440;4
2020-06-19 09:44:21Z;2020-06-19 11:44:21;120;JavaScript;latitude-E6440;2
2020-06-19 09:40:40Z;2020-06-19 11:40:40;120;JavaScript;latitude-E6440;19
2020-06-19 09:50:42Z;2020-06-19 11:50:42;120;JavaScript;latitude-E6440;37
2020-06-19 09:49:00Z;2020-06-19 11:49:00;120;JavaScript;latitude-E6440;5
2020-06-19 09:48:05Z;2020-06-19 11:48:05;120;JavaScript;latitude-E6440;2
2020-06-19 09:46:10Z;2020-06-19 11:46:10;120;JavaScript;latitude-E6440;35
2020-06-19 09:45:14Z;2020-06-19 11:45:14;120;JavaScript;latitude-E6440;30
2020-06-19 09:46:57Z;2020-06-19 11:46:57;120;JavaScript;latitude-E6440;38
2020-06-19 09:48:39Z;2020-06-19 11:48:39;120;JavaScript;latitude-E6440;5
2020-06-20 16:26:51Z;2020-06-20 18:26:51;120;JavaScript;latitude-E6440;2
2020-06-20 16:33:02Z;2020-06-20 18:33:02;120;JavaScript;latitude-E6440;3
2020-06-20 16:10:43Z;2020-06-20 18:10:43;120;JavaScript;latitude-E6440;1
2020-06-20 16:32:06Z;2020-06-20 18:32:06;120;JavaScript;latitude-E6440;13
2020-06-20 16:32:24Z;2020-06-20 18:32:24;120;JavaScript;latitude-E6440;3
2020-06-20 16:10:24Z;2020-06-20 18:10:24;120;JavaScript;latitude-E6440;42
2020-06-20 16:33:38Z;2020-06-20 18:33:38;120;JavaScript;latitude-E6440;10
2020-06-20 16:36:13Z;2020-06-20 18:36:13;120;JavaScript;latitude-E6440;22
2020-06-20 16:32:48Z;2020-06-20 18:32:48;120;JavaScript;latitude-E6440;2
2020-06-20 16:29:36Z;2020-06-20 18:29:36;120;JavaScript;latitude-E6440;2
2020-06-20 16:57:39Z;2020-06-20 18:57:39;120;JavaScript;latitude-E6440;3
2020-06-20 16:47:24Z;2020-06-20 18:47:24;120;JavaScript;latitude-E6440;11
2020-06-20 16:10:57Z;2020-06-20 18:10:57;120;JavaScript;latitude-E6440;2
2020-06-20 16:36:54Z;2020-06-20 18:36:54;120;JavaScript;latitude-E6440;13
2020-06-20 16:59:04Z;2020-06-20 18:59:04;120;JavaScript;latitude-E6440;9
2020-06-20 16:58:31Z;2020-06-20 18:58:31;120;JavaScript;latitude-E6440;13
2020-06-20 17:00:08Z;2020-06-20 19:00:08;120;JavaScript;latitude-E6440;1
2020-06-20 18:33:54Z;2020-06-20 20:33:54;120;JavaScript;latitude-E6440;6
2020-06-20 18:35:53Z;2020-06-20 20:35:53;120;JavaScript;latitude-E6440;11
2020-06-20 18:36:34Z;2020-06-20 20:36:34;120;JavaScript;latitude-E6440;5
2020-06-21 07:38:00Z;2020-06-21 09:38:00;120;JavaScript;latitude-E6440;2
2020-06-21 07:35:15Z;2020-06-21 09:35:15;120;JavaScript;latitude-E6440;4
2020-06-21 07:41:33Z;2020-06-21 09:41:33;120;JavaScript;latitude-E6440;5
2020-06-21 07:40:16Z;2020-06-21 09:40:16;120;JavaScript;latitude-E6440;13
2020-06-21 07:36:36Z;2020-06-21 09:36:36;120;JavaScript;latitude-E6440;8
2020-06-21 07:31:27Z;2020-06-21 09:31:27;120;JavaScript;latitude-E6440;2
2020-06-21 07:30:31Z;2020-06-21 09:30:31;120;JavaScript;latitude-E6440;5
2020-06-21 07:43:12Z;2020-06-21 09:43:12;120;JavaScript;latitude-E6440;14
2020-06-21 07:38:11Z;2020-06-21 09:38:11;120;JavaScript;latitude-E6440;1
2020-06-21 07:32:03Z;2020-06-21 09:32:03;120;JavaScript;latitude-E6440;8
2020-06-21 08:11:54Z;2020-06-21 10:11:54;120;JavaScript;latitude-E6440;4
2020-06-21 08:12:11Z;2020-06-21 10:12:11;120;JavaScript;latitude-E6440;2
2020-06-21 07:41:09Z;2020-06-21 09:41:09;120;JavaScript;latitude-E6440;2
2020-06-21 07:38:49Z;2020-06-21 09:38:49;120;JavaScript;latitude-E6440;11
2020-06-21 07:37:40Z;2020-06-21 09:37:40;120;JavaScript;latitude-E6440;14
2020-06-21 07:31:13Z;2020-06-21 09:31:13;120;JavaScript;latitude-E6440;3
2020-06-21 07:34:40Z;2020-06-21 09:34:40;120;JavaScript;latitude-E6440;8
2020-06-21 08:11:36Z;2020-06-21 10:11:36;120;JavaScript;latitude-E6440;19
2020-06-21 07:32:50Z;2020-06-21 09:32:50;120;JavaScript;latitude-E6440;3
2020-06-21 07:39:51Z;2020-06-21 09:39:51;120;JavaScript;latitude-E6440;10
2020-06-21 07:30:17Z;2020-06-21 09:30:17;120;JavaScript;latitude-E6440;8
2020-06-21 07:30:43Z;2020-06-21 09:30:43;120;JavaScript;latitude-E6440;2
2020-06-21 08:12:40Z;2020-06-21 10:12:40;120;JavaScript;latitude-E6440;11
2020-06-21 08:10:26Z;2020-06-21 10:10:26;120;JavaScript;latitude-E6440;2
2020-06-21 12:12:57Z;2020-06-21 14:12:57;120;JavaScript;latitude-E6440;2
2020-06-21 13:19:37Z;2020-06-21 15:19:37;120;JavaScript;latitude-E6440;2
2020-06-21 13:18:43Z;2020-06-21 15:18:43;120;JavaScript;latitude-E6440;28
2020-06-21 13:18:06Z;2020-06-21 15:18:06;120;JavaScript;latitude-E6440;1
2020-06-21 13:14:44Z;2020-06-21 15:14:44;120;JavaScript;latitude-E6440;7
2020-06-21 13:08:36Z;2020-06-21 15:08:36;120;JavaScript;latitude-E6440;10
2020-06-21 13:08:04Z;2020-06-21 15:08:04;120;JavaScript;latitude-E6440;8
2020-06-21 13:10:23Z;2020-06-21 15:10:23;120;JavaScript;latitude-E6440;4
2020-06-21 13:34:07Z;2020-06-21 15:34:07;120;JavaScript;latitude-E6440;6
2020-06-21 13:22:44Z;2020-06-21 15:22:44;120;JavaScript;latitude-E6440;7
2020-06-21 13:14:55Z;2020-06-21 15:14:55;120;JavaScript;latitude-E6440;3
2020-06-21 13:19:26Z;2020-06-21 15:19:26;120;JavaScript;latitude-E6440;2
2020-06-21 13:20:13Z;2020-06-21 15:20:13;120;JavaScript;latitude-E6440;2
2020-06-21 13:32:41Z;2020-06-21 15:32:41;120;JavaScript;latitude-E6440;6
2020-06-21 13:44:04Z;2020-06-21 15:44:04;120;JavaScript;latitude-E6440;5
2020-06-21 13:35:11Z;2020-06-21 15:35:11;120;JavaScript;latitude-E6440;4
2020-06-21 13:07:36Z;2020-06-21 15:07:36;120;JavaScript;latitude-E6440;5
2020-06-21 13:10:44Z;2020-06-21 15:10:44;120;JavaScript;latitude-E6440;18
2020-06-21 13:17:25Z;2020-06-21 15:17:25;120;JavaScript;latitude-E6440;9
2020-06-21 13:17:52Z;2020-06-21 15:17:52;120;JavaScript;latitude-E6440;2
2020-06-21 13:40:51Z;2020-06-21 15:40:51;120;JavaScript;latitude-E6440;5
2020-06-21 13:45:03Z;2020-06-21 15:45:03;120;JavaScript;latitude-E6440;4
2020-06-21 13:46:03Z;2020-06-21 15:46:03;120;JavaScript;latitude-E6440;8
2020-06-21 15:03:12Z;2020-06-21 17:03:12;120;JavaScript;latitude-E6440;7
2020-06-21 15:08:26Z;2020-06-21 17:08:26;120;JavaScript;latitude-E6440;14
